study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSCBX_8335,DC8335,GRN,GRN,GRN
PSCYS_8355,DC8355,GRN,GRN,GRN
PSCYS_8358,DC8358,GRN,GRN,GRN
PSCYD_8384,DC8384,GRN,GRN,GRN
PSCYD_8389,DC8389,GRN,GRN,GRN
PSCYD_8403,DC8403,GRN,GRN,GRN
PSCYX_8405,DC8405,GRN,GRN,GRN
PSPGD_0957,PNG0957,GRN,GRN,GRN
PSPVS_1331,PNG1331,GRN,GRN,GRN
PSCBD_8299,not_available,GRN,,GRN
PSCBD_8306,not_available,GRN,,GRN
PSCBD_8308,not_available,GRN,,GRN
PSCBS_8271,not_available,GRN,,GRN
PSCFS_0440,not_available,GRN,,GRN
PSCFS_0445,not_available,GRN,,GRN
PSCFX_0509,not_available,GRN,,GRN
PSCOS_1834,not_available,GRN,,GRN
PSCYD_8390,not_available,GRN,,GRN
PSCYD_8398,not_available,GRN,,GRN
PSCYD_8402,not_available,GRN,,GRN
PSCYS_8363,not_available,GRN,,GRN
PSCYS_8368,not_available,GRN,,GRN
PSGAB_7653,not_available,GRN,,GRN
PSGAB_7666,not_available,GRN,,GRN
PSGAB_7668,not_available,GRN,,GRN
PSGAD_7603,not_available,GRN,,GRN
PSGAD_7605,not_available,GRN,,GRN
PSGAD_7606,not_available,GRN,,GRN
PSGAD_7608,not_available,GRN,,GRN
PSGAD_7611,not_available,GRN,,GRN
PSGAD_7625,not_available,GRN,,GRN
PSGAD_7626,not_available,GRN,,GRN
PSGAD_7627,not_available,GRN,,GRN
PSGAD_7638,not_available,GRN,,GRN
PSGDB_8150,not_available,GRN,,GRN
PSGDB_8154,not_available,GRN,,GRN
PSGDD_8082,not_available,GRN,,GRN
PSGDD_8084,not_available,GRN,,GRN
PSGDD_8091,not_available,GRN,,GRN
PSGDD_8093,not_available,GRN,,GRN
PSGDS_8064,not_available,GRN,,GRN
PSGDS_8106,not_available,GRN,,GRN
PSGDS_8117,not_available,GRN,,GRN
PSGGB_7969,not_available,GRN,,GRN
PSGMB_1104,not_available,GRN,,GRN
PSGMD_0768,not_available,GRN,,GRN
PSGMD_0946,not_available,GRN,,GRN
PSGRB_8218,not_available,GRN,,GRN
PSGRB_8226,not_available,GRN,,GRN
PSGRB_8227,not_available,GRN,,GRN
PSGRB_8230,not_available,GRN,,GRN
PSGRB_8231,not_available,GRN,,GRN
PSGRB_8232,not_available,GRN,,GRN
PSGRB_8234,not_available,GRN,,GRN
PSGRB_8235,not_available,GRN,,GRN
PSGRD_8172,not_available,GRN,,GRN
PSGRD_8175,not_available,GRN,,GRN
PSGRD_8176,not_available,GRN,,GRN
PSGRD_8182,not_available,GRN,,GRN
PSGRD_8190,not_available,GRN,,GRN
PSGSD_7994,not_available,GRN,,GRN
PSGSD_7998,not_available,GRN,,GRN
PSGSD_8002,not_available,GRN,,GRN
PSGSD_8008,not_available,GRN,,GRN
PSGTD_2739,not_available,GRN,,GRN
